park_id,date,weekday,hour,occupacy_percentage
32,2017-09-13,Wed,06:00:00,7.7
32,2017-09-13,Wed,06:30:00,7.7
32,2017-09-13,Wed,07:00:00,7.7
32,2017-09-13,Wed,07:30:00,15.4
32,2017-09-13,Wed,08:00:00,53.8
32,2017-09-13,Wed,08:30:00,53.8
32,2017-09-13,Wed,09:00:00,53.8
32,2017-09-13,Wed,09:30:00,61.5
32,2017-09-13,Wed,10:00:00,61.5
32,2017-09-13,Wed,10:30:00,53.8
32,2017-09-13,Wed,11:00:00,53.8
32,2017-09-13,Wed,11:30:00,53.8
32,2017-09-13,Wed,12:00:00,46.2
